Bevölkerung Population   VZ/RFP 2000;Gde;Kt Ct;PLZ  NPA ;Ortsbezeichnung                             Localité ;BFS-Nr.  No OFS;;Gemeinde                Commune  ;Region Région;Bezirk                                       District 
;;BE;3325;Hängelen;414;;Krauchthal;2;BURGDORF
;;BE;3325;Hettiswil;414;;Krauchthal;2;BURGDORF
;;BE;3326;Hueb;414;;Krauchthal;2;BURGDORF
;;BE;3326;Thorberg;414;;Krauchthal;2;BURGDORF
1391;1;BE;3421;Lyssach;415;;Lyssach;2;BURGDORF
112;1;BE;3324;Mötschwil;416;;Mötschwil;2;BURGDORF
;;BE;3325;Schleumen;416;;Mötschwil;2;BURGDORF
210;1;BE;3424;Niederösch;417;;Niederösch;2;BURGDORF
2740;1;BE;3414;Oberburg;418;;Oberburg;2;BURGDORF
;;BE;3421;Rohrmoos;418;;Oberburg;2;BURGDORF
;;BE;3068;Tannen;418;;Oberburg;2;BURGDORF
;;BE;3414;Zimmerberg;418;;Oberburg;2;BURGDORF
113;1;BE;3424;Oberösch;419;;Oberösch;2;BURGDORF
2094;1;BE;3422;Rüdtligen-Alchenflüh;420;;Rüdtligen-Alchenflüh;2;BURGDORF
;;BE;3422;Alchenflüh;420;;Rüdtligen-Alchenflüh;2;BURGDORF
;;BE;3422;Rüdtligen;420;;Rüdtligen-Alchenflüh;2;BURGDORF
136;1;BE;3472;Rumendingen;421;;Rumendingen;2;BURGDORF
156;1;BE;3421;Rüti bei Lyssach;422;;Rüti bei Lyssach;2;BURGDORF
171;1;BE;3425;Willadingen;423;;Willadingen;2;BURGDORF
2037;1;BE;3472;Wynigen;424;;Wynigen;2;BURGDORF
;;BE;3472;Bickingen;424;;Wynigen;2;BURGDORF
;;BE;3474;Breitenegg;424;;Wynigen;2;BURGDORF
;;BE;3474;Ferrenberg bei Wynigen;424;;Wynigen;2;BURGDORF
;;BE;3472;Kappelen;424;;Wynigen;2;BURGDORF
;;BE;3474;Rüedisbach;424;;Wynigen;2;BURGDORF
;;BE;3472;Schwanden bei Wynigen;424;;Wynigen;2;BURGDORF
1493;1;BE;2606;Corgémont;431;;Corgémont;2;COURTELARY
530;1;BE;2612;Cormoret;432;;Cormoret;2;COURTELARY
;;BE;2610;Mont-Crosin;432;;Cormoret;2;COURTELARY
714;1;BE;2607;Cortébert;433;;Cortébert;2;COURTELARY
;;BE;2608;Prés-de-Cortébert;433;;Cortébert;2;COURTELARY
1127;1;BE;2608;Courtelary;434;;Courtelary;2;COURTELARY
;;BE;2608;Montagne-Courtlary;434;;Courtelary;2;COURTELARY
513;1;BE;2333;La Ferrière;435;;La Ferrière;2;COURTELARY
;;BE;2333;La Chaux-d'Abel *;435;;La Ferrière;2;COURTELARY
;;BE;2333;La Cibourg * (NE/BE);435;;La Ferrière;2;COURTELARY
488;1;BE;2604;La Heutte;436;;La Heutte;2;COURTELARY
116;1;BE;2723;Mont-Tramelan;437;;Mont-Tramelan;2;COURTELARY
;;BE;2723;Les Vacheries-Brunier;437;;Mont-Tramelan;2;COURTELARY
1235;1;BE;2534;Orvin;438;;Orvin;2;COURTELARY
;;BE;2534;Ilfingen;438;;Orvin;2;COURTELARY
;;BE;2534;Les Prés-d'Orvin;438;;Orvin;2;COURTELARY
1335;1;BE;2603;Péry;439;;Péry;2;COURTELARY
;;BE;2603;La Reuchenette;439;;Péry;2;COURTELARY
;;BE;2603;Montoz (Péry);439;;Péry;2;COURTELARY
;;BE;2603;Rondchâtel;439;;Péry;2;COURTELARY
393;1;BE;2536;Plagne;440;;Plagne;2;COURTELARY
836;1;BE;2616;Renan;441;;Renan (BE);2;COURTELARY
;;BE;2616;La Cibourg * (NE/BE);441;;Renan (BE);2;COURTELARY
;;BE;2616;Les Convers;441;;Renan (BE);2;COURTELARY
197;1;BE;2538;Romont BE;442;;Romont (BE);2;COURTELARY
4807;1;BE;2610;St-Imier;443;;Saint-Imier;2;COURTELARY
;;BE;2610;Les Pontins;443;;Saint-Imier;2;COURTELARY
;;BE;2610;Montagne-du-Droit *;443;;Saint-Imier;2;COURTELARY
;;BE;2610;Mont-Soleil;443;;Saint-Imier;2;COURTELARY
;;BE;2610;St. Immer;443;;Saint-Imier;2;COURTELARY
1666;1;BE;2605;Sonceboz-Sombeval;444;;Sonceboz-Sombeval;2;COURTELARY
;;BE;2605;Sombeval;444;;Sonceboz-Sombeval;2;COURTELARY
;;BE;2605;Sonceboz;444;;Sonceboz-Sombeval;2;COURTELARY
1158;1;BE;2615;Sonvilier;445;;Sonvilier;2;COURTELARY
;;BE;2333;La Chaux-d'Abel *;445;;Sonvilier;2;COURTELARY
;;BE;2615;Montagne-du-Droit *;445;;Sonvilier;2;COURTELARY
;;BE;2615;Montagne-Sonvilier;445;;Sonvilier;2;COURTELARY
4165;1;BE;2720;Tramelan;446;;Tramelan;2;COURTELARY
;;BE;2722;La Chaux-de-Tramelan;446;;Tramelan;2;COURTELARY
