"fophNumber"	"version"	"ohiZone"	"insuredStock"
"0411"	"3"	"756.23"	"235"
"0411"	"3"	"756.09"	"4358"
"0411"	"3"	"756.01"	"2092"
"0445"	"3"	"756.19"	"1957"
"0445"	"3"	"756.16"	"7"
"0445"	"3"	"756.15"	"73"
"0445"	"3"	"756.02"	"6812"
"0445"	"3"	"756.13"	"8759"
"0445"	"3"	"756.12"	"7011"
"0445"	"3"	"756.10"	"1665"
"0445"	"3"	"756.25"	"1859"
"0445"	"3"	"756.08"	"67"
"0445"	"3"	"756.18"	"2290"
"0445"	"3"	"756.26"	"398"
"0445"	"3"	"756.03"	"234"
"0445"	"3"	"756.24"	"5885"
"0445"	"3"	"756.07"	"36"
"0445"	"3"	"756.06"	"23"
"0445"	"3"	"756.17"	"751"
"0445"	"3"	"756.14"	"266"
"0445"	"3"	"756.11"	"745"
"0445"	"3"	"756.05"	"1024"
"0445"	"3"	"756.20"	"440"
"0445"	"3"	"756.21"	"2245"
"0445"	"3"	"756.04"	"26"
"0445"	"3"	"756.22"	"2228"
"0445"	"3"	"756.23"	"1107"
"0445"	"3"	"756.09"	"129"
"0445"	"3"	"756.01"	"18814"
"0455"	"3"	"756.19"	"548"
"0455"	"3"	"756.16"	"69"
"0455"	"3"	"756.15"	"343"
"0455"	"3"	"756.02"	"364"
"0455"	"3"	"756.13"	"128"
"0455"	"3"	"756.12"	"93"
"0455"	"3"	"756.10"	"45"
"0455"	"3"	"756.25"	"25"
"0455"	"3"	"756.08"	"2532"
"0455"	"3"	"756.18"	"82914"
"0455"	"3"	"756.26"	"2"
"0455"	"3"	"756.03"	"348"
"0455"	"3"	"756.24"	"13"
"0455"	"3"	"756.07"	"37"
"0455"	"3"	"756.06"	"39"
"0455"	"3"	"756.17"	"9482"
"0455"	"3"	"756.14"	"3715"
"0455"	"3"	"756.11"	"95"
"0455"	"3"	"756.05"	"2430"
"0455"	"3"	"756.20"	"8674"
"0455"	"3"	"756.21"	"7763"
"0455"	"3"	"756.04"	"41"
"0455"	"3"	"756.22"	"35"
"0455"	"3"	"756.23"	"30"
"0455"	"3"	"756.09"	"261"
"0455"	"3"	"756.01"	"26651"
"0484"	"3"	"756.19"	"726"
"0484"	"3"	"756.16"	"75"
"0484"	"3"	"756.15"	"732"
"0484"	"3"	"756.02"	"457"
"0484"	"3"	"756.13"	"109"
"0484"	"3"	"756.12"	"188"
"0484"	"3"	"756.10"	"3658"
"0484"	"3"	"756.25"	"14"
"0484"	"3"	"756.08"	"76"
"0484"	"3"	"756.18"	"204"
"0484"	"3"	"756.26"	"12"
"0484"	"3"	"756.03"	"208"
"0484"	"3"	"756.24"	"46"
"0484"	"3"	"756.07"	"3"
"0484"	"3"	"756.06"	"7"
"0484"	"3"	"756.17"	"678"
"0484"	"3"	"756.14"	"89"
"0484"	"3"	"756.11"	"205"
"0484"	"3"	"756.05"	"101"
"0484"	"3"	"756.20"	"475"
"0484"	"3"	"756.21"	"4209"
"0484"	"3"	"756.04"	"10"
"0484"	"3"	"756.22"	"65"
"0484"	"3"	"756.23"	"48"
"0484"	"3"	"756.09"	"98"
"0484"	"3"	"756.01"	"8512"
"0509"	"3"	"756.19"	"10084"
"0509"	"3"	"756.16"	"40"
"0509"	"3"	"756.15"	"200"
"0509"	"3"	"756.02"	"1160"
"0509"	"3"	"756.13"	"29462"
"0509"	"3"	"756.12"	"64373"
"0509"	"3"	"756.10"	"80"
"0509"	"3"	"756.25"	"78"
"0509"	"3"	"756.08"	"57"
"0509"	"3"	"756.18"	"214"
"0509"	"3"	"756.26"	"95"
"0509"	"3"	"756.03"	"2811"
"0509"	"3"	"756.24"	"17"
"0509"	"3"	"756.07"	"553"
"0509"	"3"	"756.06"	"791"
"0509"	"3"	"756.17"	"1271"
"0509"	"3"	"756.14"	"1130"
"0509"	"3"	"756.11"	"7018"
"0509"	"3"	"756.05"	"1286"
"0509"	"3"	"756.20"	"1587"
"0509"	"3"	"756.21"	"173"
"0509"	"3"	"756.04"	"724"
"0509"	"3"	"756.22"	"146"
"0509"	"3"	"756.23"	"88"
"0509"	"3"	"756.09"	"3775"
"0509"	"3"	"756.01"	"7100"
"0556"	"3"	"756.19"	"19"
"0556"	"3"	"756.16"	"1"
"0556"	"3"	"756.15"	"3"
"0556"	"3"	"756.02"	"19"
"0556"	"3"	"756.13"	"4"
"0556"	"3"	"756.12"	"1"
"0556"	"3"	"756.10"	"3"
"0556"	"3"	"756.25"	"4"
"0556"	"3"	"756.08"	"9"
"0556"	"3"	"756.18"	"2498"
"0556"	"3"	"756.03"	"7"
"0556"	"3"	"756.07"	"7"
"0556"	"3"	"756.17"	"17"
"0556"	"3"	"756.14"	"1"
"0556"	"3"	"756.11"	"13"
"0556"	"3"	"756.05"	"1"
"0556"	"3"	"756.20"	"18"
"0556"	"3"	"756.21"	"54"
"0556"	"3"	"756.22"	"9"
"0556"	"3"	"756.09"	"8"
"0556"	"3"	"756.01"	"127"
"0558"	"3"	"756.01"	"2140"
"0749"	"3"	"756.19"	"501"
"0749"	"3"	"756.16"	"2"
"0749"	"3"	"756.15"	"32"
"0749"	"3"	"756.02"	"1495"
"0749"	"3"	"756.13"	"616"
"0749"	"3"	"756.12"	"119"
"0749"	"3"	"756.10"	"5118"
"0749"	"3"	"756.25"	"6859"
"0749"	"3"	"756.08"	"43"
"0749"	"3"	"756.18"	"51"
"0749"	"3"	"756.26"	"536"
"0749"	"3"	"756.03"	"238"
"0749"	"3"	"756.24"	"2696"
"0749"	"3"	"756.07"	"12"
"0749"	"3"	"756.06"	"4"
"0749"	"3"	"756.17"	"369"
"0749"	"3"	"756.14"	"67"
"0749"	"3"	"756.11"	"145"
"0749"	"3"	"756.05"	"1213"
"0749"	"3"	"756.20"	"7777"
"0749"	"3"	"756.21"	"6115"
"0749"	"3"	"756.04"	"24"
"0749"	"3"	"756.22"	"15339"
"0749"	"3"	"756.23"	"1857"
"0749"	"3"	"756.09"	"114"
"0749"	"3"	"756.01"	"11397"
"0762"	"3"	"756.19"	"1585"
"0762"	"3"	"756.16"	"183"
"0762"	"3"	"756.15"	"305"
"0762"	"3"	"756.02"	"11790"
"0762"	"3"	"756.13"	"348"
"0762"	"3"	"756.12"	"620"
"0762"	"3"	"756.10"	"339"
"0762"	"3"	"756.25"	"1066"
"0762"	"3"	"756.08"	"360"
"0762"	"3"	"756.18"	"347"
"0762"	"3"	"756.26"	"143"
"0762"	"3"	"756.03"	"1802"
"0762"	"3"	"756.24"	"163"
"0762"	"3"	"756.07"	"809"
"0762"	"3"	"756.06"	"538"
"0762"	"3"	"756.17"	"2342"
"0762"	"3"	"756.14"	"181"
"0762"	"3"	"756.11"	"1020"
"0762"	"3"	"756.05"	"1427"
"0762"	"3"	"756.20"	"1206"
"0762"	"3"	"756.21"	"1082"
"0762"	"3"	"756.04"	"377"
"0762"	"3"	"756.22"	"1469"
"0762"	"3"	"756.23"	"244"
"0762"	"3"	"756.09"	"552"
"0762"	"3"	"756.01"	"4679"
"0774"	"3"	"756.19"	"14"
"0774"	"3"	"756.16"	"0"
"0774"	"3"	"756.15"	"2"
"0774"	"3"	"756.02"	"77"
"0774"	"3"	"756.13"	"14"
"0774"	"3"	"756.12"	"2"
"0774"	"3"	"756.10"	"2668"
"0774"	"3"	"756.25"	"68"
"0774"	"3"	"756.08"	"1"
"0774"	"3"	"756.18"	"25"
"0774"	"3"	"756.26"	"8"
"0774"	"3"	"756.03"	"16"
"0774"	"3"	"756.24"	"19"
"0774"	"3"	"756.07"	"1"
"0774"	"3"	"756.17"	"12"
"0774"	"3"	"756.14"	"10"
"0774"	"3"	"756.11"	"30"
"0774"	"3"	"756.05"	"33"
"0774"	"3"	"756.20"	"11"
"0774"	"3"	"756.21"	"19"
